name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
2M 0219-39 b,Confirmed,13.9,1.1,1.1,,,,1.44,0.03,0.03,,,,156,10,10,,,,,,,,2015,2024-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1683,,,,,,Published in a refereed paper,Imaging,Spectrum,Theoretical,J0219-3925 B,,2M 0219-39,34.84166667,-39.42305557,,,,,,39.4,2.6,2.6,,,,0.11,0.01,0.01,0.27,0.01,0.01,M6,,,,3064,76,76,,,2MASS J0292210-3925225
AB Pic b,Confirmed,13.5,0.5,0.5,,,,1.75,0.1,0.1,,,,275,,,,,,,,,5.813953,2005,2024-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,,,,,,Published in a refereed paper,Imaging,,,,,AB Pic,94.8,-58.0541667,9.16,,,,,47.3,1.8,1.8,0.04,0.02,0.02,,,,,,,K2 V,0.03,,,5285,9,9,,,
2M J2126-81 b,Confirmed,13.3,1.7,1.7,,,,,,,,,,6900,,,,,,,,,,2016,2024-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,TYC 9486-927-1,321.3666667,-81.64111113,9,,,,,24.75,4.25,4.25,,,,0.4,,,,,,M2,0.027,0.017,0.017,,,,,,
2M 0103-55 (AB) b,Confirmed,13,1,1,,,,,,,,,,84,,,,,,,,,,2013,2022-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,Delorme 1 (AB),H,2M 0103-55 (AB),15.9,-55.2656,,,7.5,,,47.2,3.1,3.1,,,,0.4,,,,,,M,0.03,,,,,,,,
2MASS J0809+4434,Confirmed,13,8,8,,,,1.35,0.11,0.11,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1253,74,74,,,,,,4.12,Published in a refereed paper,Imaging,Spectrum,Flux,,,,122.495993,44.57267002,,,,,,25,5,5,,,,,,,,,,,,,,,,,,,
2MASS J2002-0521,Confirmed,13,8,8,,,,1.36,0.11,0.11,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1301,56,56,,,,,,4.14,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J20025073-0521524,,,300.7112979,-5.364606268,,,,,,17.6316,0.4607,0.4607,,,,,,,,,,,,,,,,,,,
AB Dor C b,Confirmed,13,1,1,,,,,,,,,,0.58,,,,,,,,,,2019,2019-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,AB Dor C,82.43333335,-65.44833335,,,,,,15.8,,,,,,0.072,0.013,0.013,,,,M8,,,,,,,,,
kappa And b,Confirmed,13,2,2,,,,1.2,0.1,0.1,215000,100000,100000,100,46,46,0.69,0.1,0.1,121,10,10,,2013,2024-03-24,129.5,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850,,,,,4.5,Published in a refereed paper,Imaging,Spectrum,,kap And b,H2O,kappa And,355.1042,44.3339,4.14,0.2,4.6,,,50,0.1,0.1,-0.36,0.09,0.09,2.8,0.2,0.2,2.29,0.06,0.06,B9IV,0.047,0.04,0.04,11361,66,66,,,"HD 222439, HR 8976, HIP 116805, 19 Andromedae, kap And"
Proplyd 133-353,Confirmed,13,,,,,,,,,,,,,,,,,,,,,,2016,2024-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2450,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,Proplyd 133-353,83.80416667,-5.398055575,,,,,,388,5,5,,,,,,,,,,,0.0005,,,,,,,,
SR 12 (AB) c,Confirmed,13,7,7,,,,,,,,,,1083,217,217,,,,,,,8.664,2011,2022-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,SR 12 (AB),246.8333333,-24.6944444,13.28,,,,,125,25,25,,,,,,,,,,K4-M2.5,0.001,inf,inf,,,,,,
